transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,cogs2,
180,05-11-2022,10:47:00,117,Male,41,Clothing,3,300,129,900,387,
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500,145,1500,435,
559,12-12-2022,10:48:00,5,Female,40,Clothing,4,300,84,1200,336,
1180,06-01-2022,08:53:00,85,Male,41,Clothing,3,300,129,900,387,
1522,14-11-2022,08:35:00,48,Male,46,Beauty,3,500,235,1500,705,
1559,20-08-2022,07:40:00,49,Female,40,Clothing,4,300,144,1200,576,
163,31-10-2022,09:38:00,144,Female,64,Clothing,3,50,23,150,69,
303,22-04-2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90,44.1,
421,08-04-2022,08:43:00,66,Female,37,Clothing,3,500,235,1500,705,
979,18-05-2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25,10.5,
1163,04-05-2022,10:52:00,120,Female,64,Clothing,3,50,27,150,81,
1303,19-03-2022,08:59:00,58,Male,19,Electronics,3,30,15,90,45,
1421,17-01-2022,07:07:00,59,Female,37,Clothing,3,500,185,1500,555,
1979,17-08-2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25,7.75,
610,18-12-2022,06:56:00,137,Female,26,Beauty,2,300,93,600,186,
1610,23-11-2022,10:18:00,1,Female,26,Beauty,2,300,102,600,204,
32,16-07-2022,09:11:00,150,Male,30,Beauty,3,30,8.4,90,25.2,
231,09-07-2022,07:02:00,50,Female,23,Clothing,3,50,26.5,150,79.5,
683,06-03-2022,10:22:00,82,Male,38,Beauty,2,500,175,1000,350,
1032,01-04-2022,08:15:00,1,Male,30,Beauty,3,30,10.5,90,31.5,
1231,29-01-2022,07:05:00,12,Female,23,Clothing,3,50,23,150,69,
1683,04-05-2022,07:19:00,98,Male,38,Beauty,2,500,220,1000,440,
367,30-12-2022,07:03:00,123,Female,57,Electronics,1,50,18,50,18,
391,25-03-2022,07:37:00,68,Male,19,Beauty,2,25,6.25,50,12.5,
432,10-03-2022,11:31:00,17,Female,,Electronics,2,500,190,1000,380,
1367,15-04-2022,11:38:00,16,Female,,Electronics,1,50,15.5,50,15.5,
1391,01-03-2022,11:29:00,130,Male,,Beauty,2,25,9.25,50,18.5,
1432,25-12-2022,06:24:00,67,Female,,Electronics,2,500,245,1000,490,
150,13-04-2022,08:25:00,89,Female,,Electronics,4,30,16.2,120,64.8,
845,27-10-2022,10:12:00,25,Male,,Clothing,1,500,145,500,145,
1150,22-08-2022,10:04:00,77,Female,,Electronics,4,30,10.2,120,40.8,
1845,24-05-2022,07:06:00,94,Male,,Clothing,1,500,185,500,185,
797,16-09-2022,06:38:00,116,Male,,Clothing,3,25,10.75,75,32.25,
921,28-09-2022,09:34:00,101,Male,,Electronics,3,25,8,75,24,
1797,16-04-2022,11:47:00,147,Male,40,Clothing,3,25,12.25,75,36.75,
1921,08-02-2022,07:01:00,77,Male,51,Electronics,3,25,7.5,75,22.5,
291,22-11-2022,08:29:00,15,Male,60,Clothing,2,300,126,600,252,
907,02-09-2022,06:16:00,145,Female,45,Electronics,1,25,8.5,25,8.5,
1291,04-04-2022,11:19:00,72,Male,60,Clothing,2,300,153,600,306,
1907,17-11-2022,11:21:00,115,Female,45,Electronics,1,25,9,25,9,
860,11-04-2022,08:58:00,85,Male,63,Clothing,4,50,16,200,64,
1860,12-03-2022,11:21:00,57,Male,63,Clothing,4,50,18,200,72,
184,13-02-2022,06:44:00,128,Male,31,Electronics,4,50,17,200,68,
734,12-03-2022,08:54:00,77,Female,27,Clothing,1,30,15.6,30,15.6,
